Sale Year,Type,Price
2000,House,275000
2001,House,320000
2002,House,381500
2003,House,385000
2004,House,395000
2005,House,450000
2006,House,490500
2007,House,615000
2008,House,543500
2009,House,585796.5
2010,House,740000
2011,House,710000
2012,House,675000
2013,House,737750
2014,House,800000
2015,House,890000
2016,House,950000
2000,Apartment,302500
2001,Apartment,330545
2002,Apartment,369500
2003,Apartment,310000
2004,Apartment,336000
2005,Apartment,335000
2006,Apartment,370000
2007,Apartment,400000
2008,Apartment,422000
2009,Apartment,450000
2010,Apartment,508000
2011,Apartment,510000
2012,Apartment,493960
2013,Apartment,520000
2014,Apartment,525000
2015,Apartment,510000
2016,Apartment,508000
